City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Taywarah,AF,33.35,64.4167,63.81,32,100,4.25,overcast clouds
247,Batagay-Alyta,RU,67.8006,130.4114,61.11,57,100,3.15,overcast clouds
248,Lock Haven,US,41.137,-77.4469,74.91,79,24,5.08,few clouds
249,Lavrentiya,RU,65.5833,-171.0,50.2,83,100,5.17,overcast clouds
250,Ixtapa,MX,20.7,-105.2,83.23,83,75,0.0,broken clouds
251,Klyuchi,RU,52.2667,79.1667,66.81,59,61,2.57,broken clouds
252,Angoche,MZ,-16.2325,39.9086,71.4,75,32,5.5,light rain
253,Nhulunbuy,AU,-12.2333,136.7667,79.41,61,75,14.97,broken clouds
254,Nikolskoye,RU,59.7035,30.7861,60.8,93,100,2.8,overcast clouds
255,Shache,CN,38.4167,77.2406,84.47,21,0,11.34,clear sky
256,Diamantino,BR,-14.4086,-56.4461,68.34,51,0,3.98,clear sky
257,Saint George,US,37.1041,-113.5841,97.63,11,0,14.97,clear sky
258,Bras-Panon,RE,-20.9967,55.6782,67.89,74,21,12.41,few clouds
259,Muroto,JP,33.2833,134.15,79.39,82,100,7.87,overcast clouds
260,Takoradi,GH,4.8845,-1.7554,75.63,89,93,6.67,overcast clouds
261,Angoram,PG,-4.0625,144.0661,87.55,62,100,3.18,overcast clouds
262,Kruisfontein,ZA,-34.0033,24.7314,53.58,59,0,7.52,clear sky
263,Mehamn,NO,71.0357,27.8492,53.55,87,75,0.0,broken clouds
264,Souillac,MU,-20.5167,57.5167,68.86,72,100,14.81,overcast clouds
265,Oktyabrskiy,RU,54.4815,53.471,60.93,93,8,3.44,clear sky
266,Chernyshevskiy,RU,63.0128,112.4714,69.1,39,80,8.16,broken clouds
267,Alghero,IT,40.5589,8.3181,69.89,88,20,2.3,few clouds
268,Russell,US,32.3502,-85.1999,86.0,63,82,3.31,broken clouds
269,Bogale,MM,16.2833,95.4,83.08,80,96,5.55,overcast clouds
270,Istok,XK,42.7808,20.4875,60.21,68,0,5.3,clear sky
271,Preobrazheniye,RU,42.9019,133.9064,68.38,84,98,5.32,overcast clouds
272,Noumea,NC,-22.2763,166.4572,91.38,99,96,1.7,overcast clouds
273,Marsh Harbour,BS,26.5412,-77.0636,82.06,72,32,10.92,scattered clouds
274,Mangochi,MW,-14.4782,35.2645,64.38,74,39,7.38,scattered clouds
275,Kahului,US,20.8947,-156.47,84.22,62,40,25.32,scattered clouds
276,Dingle,PH,10.9995,122.6711,83.17,79,97,4.47,overcast clouds
277,Kapaa,US,22.0752,-159.319,82.38,82,100,3.0,light rain
278,Lagos,NG,6.5833,3.75,75.13,93,99,3.8,overcast clouds
279,Clyde River,CA,70.4692,-68.5914,44.26,63,99,2.57,overcast clouds
280,Tshane,BW,-24.0196,21.8684,53.26,46,0,6.04,clear sky
281,Vila Velha,BR,-20.3297,-40.2925,71.55,89,20,4.61,few clouds
282,Saint-Pierre,RE,-21.3393,55.4781,67.91,69,28,11.77,scattered clouds
283,Maxixe,MZ,-23.8597,35.3472,61.14,80,0,2.98,clear sky
284,Moss Vale,AU,-34.55,150.3833,56.16,86,90,5.95,overcast clouds
285,Qandala,SO,11.472,49.8728,85.86,52,81,16.58,broken clouds
286,Safaga,EG,26.7292,33.9365,85.15,32,0,14.34,clear sky
287,Sao Joao Batista,BR,-27.2761,-48.8494,69.12,98,100,2.98,overcast clouds
288,Hami,CN,42.8,93.45,82.49,21,0,10.92,clear sky
